Species,Taxonomy,CO1
Bemisia_tabaci_7038,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aleyrodidae_7036,6233.0
Bactrocera_dorsalis_27457,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,2684.0
Tanytarsus_mendax_288806,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,2183.0
Scathophaga_furcata_102987,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Scathophagidae_43756,1860.0
Paratanytarsus_laccophilus_1348422,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,1838.0
Aedes_albopictus_7160,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,1719.0
Aedes_aegypti_7159,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,1577.0
Paraphaenocladius_impensus_611590,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,1396.0
Scatopsciara_atomaria_1260869,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,1272.0
Plutella_xylostella_51655,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Plutellidae_51653,1263.0
Lymantria_dispar_13123,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Erebidae_695564,1259.0
Megaselia_arcticae_1473657,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,1222.0
Delia_platura_81723,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Anthomyiidae_30062,1196.0
Pseudolycoriella_brunnea_1888014,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,1066.0
Gymnometriocnemus_brumalis_611481,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,1062.0
Cricotopus_triannulatus_401642,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,1057.0
Suillia_nemorum_1304805,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Heleomyzidae_219548,1010.0
Helina_evecta_307206,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,963.0
Spodoptera_frugiperda_7108,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,858.0
Suillia_convergens_1086784,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Heleomyzidae_219548,849.0
Leptocera_erythrocera_1614655,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sphaeroceridae_114620,839.0
Cortinicara_gibbosa_295911,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Latridiidae_196999,826.0
Culex_pipiens_7175,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,814.0
Philygria_obtecta_1473726,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ephydridae_48991,812.0
Megaselia_rufipes_686601,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,810.0
Culex_tritaeniorhynchus_7178,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,769.0
Scoparia_biplagialis_572918,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499,765.0
